종목명,업종명,시가총액
신풍제약우,제약,"54,890,000,000"
삼일씨엔에스,비금속,"54,874,691,570"
갤럭시아에스엠,오락·문화,"54,465,646,188"
티웨이홀딩스,비금속,"54,205,313,626"
선도전기,전기·전자,"54,000,000,000"
신대양제지,종이·목재,"537,975,897,000"
현대차증권,증권,"531,145,847,960"
KG스틸,금속,"531,047,243,070"
메타케어,유통,"53,938,092,296"
HD현대중공업,운송장비·부품,"53,885,281,412,000"
평화홀딩스,운송장비·부품,"53,821,714,880"
명문제약,제약,"53,748,317,682"
한화에어로스페이스,운송장비·부품,"53,729,063,842,000"
써니전자,전기·전자,"53,651,738,818"
진양화학,화학,"53,530,000,000"
범양건영,건설,"53,173,451,700"
서원,금속,"53,076,591,620"
PI첨단소재,화학,"528,887,459,220"
NICE,일반서비스,"527,966,445,240"
E1,유통,"521,360,000,000"
천일고속,운송·창고,"52,738,218,000"
평화산업,운송장비·부품,"52,541,461,863"
케이비아이동국실업,운송장비·부품,"52,307,724,570"
DSR제강,금속,"52,272,000,000"
우성,음식료·담배,"52,128,300,000"
퍼시스,기타제조,"517,500,000,000"
LF,섬유·의류,"516,963,200,000"
쿠쿠홈시스,일반서비스,"512,692,990,500"
롯데칠성우,음식료·담배,"51,945,770,000"
삼화전자,전기·전자,"51,722,262,000"
한솔홈데코,종이·목재,"51,158,869,615"
삼양사,음식료·담배,"503,296,311,200"
SK디스커버리우,기타금융,"50,792,008,500"
블루산업개발,종이·목재,"50,765,248,908"
유성기업,운송장비·부품,"50,701,415,000"
마니커,음식료·담배,"50,681,959,944"
두산로보틱스,기계·장비,"5,969,920,158,000"
두산밥캣,기계·장비,"5,933,490,423,500"
일양약품우,제약,"5,777,138,400"
하이트진로홀딩스우,기타금융,"5,762,714,400"
한국타이어앤테크놀로지,화학,"5,753,996,955,050"
삼성카드,기타금융,"5,746,600,993,600"
한화솔루션,화학,"5,689,642,941,600"
LG이노텍,전기·전자,"5,609,104,359,000"
티와이홀딩스우,기타금융,"5,506,552,020"
한미약품,제약,"5,431,860,184,000"
흥국화재우,보험,"5,314,560,000"
맥쿼리인프라,기타금융,"5,263,352,703,070"
삼성E&A,일반서비스,"5,194,000,000,000"
산일전기,전기·전자,"5,136,105,240,000"
SKC,화학,"5,104,646,570,400"
CJ,기타금융,"5,068,044,552,600"
자화전자,전기·전자,"497,139,132,600"
풀무원,음식료·담배,"496,329,456,840"
티웨이항공,운송·창고,"495,617,609,325"
현대차3우B,운송장비·부품,"494,583,550,000"
현대그린푸드,유통,"492,290,190,000"
삼천리,전기·가스,"491,874,532,500"
드림텍,전기·전자,"490,497,091,920"
유안타증권우,증권,"49,841,138,320"
다스코,금속,"49,811,893,650"
웰바이오텍,유통,"49,553,256,815"
주성코퍼레이션,전기·전자,"49,430,375,280"
한국종합기술,일반서비스,"49,275,000,000"
아진전자부품,운송장비·부품,"49,250,470,230"
BYC우,섬유·의류,"49,215,472,500"
한일홀딩스,비금속,"489,626,197,920"
제주은행,은행,"487,601,385,300"
명신산업,운송장비·부품,"482,200,522,270"
TCC스틸,금속,"481,021,339,950"
